Room Id, Room Number, Room Type, Room Facilities, Room Price, Room Status, Room Picture, Room BedType
142, 718, Deluxe B, Shower|Double Bed|LED TV|AC|Coffee Set|Towel|Bathup|Wifi|Shower|LED TV, 51.88, Available, http://dummyimage.com/204x100.png/5fa2dd/ffffff, Single
708, 599, Deluxe A, Towel|Shower|Wifi|LED TV|AC, 52.08, Available, http://dummyimage.com/123x100.png/ff4444/ffffff, Single
403, 930, Deluxe C, Double Bed|Towel|Wifi|Shower|AC, 52.21, Available, http://dummyimage.com/153x100.png/dddddd/000000, Single
637, 281, Deluxe D, Shower|Coffee Set|Bathup|LED TV|AC|Double Bed|Wifi|Towel, 52.41, Booked, http://dummyimage.com/138x100.png/cc0000/ffffff, Single
758, 486, Deluxe A, AC, 52.41, Available, http://dummyimage.com/230x100.png/5fa2dd/ffffff, Double
636, 115, Deluxe C, LED TV|Towel|Shower|AC|Bathup|Coffee Set|Double Bed|Wifi|LED TV, 52.48, Available, http://dummyimage.com/202x100.png/dddddd/000000, Double
938, 494, Deluxe C, Coffee Set|Wifi|AC|Double Bed|Towel|Bathup|Shower|LED TV|Bathup|Shower, 52.56, Available, http://dummyimage.com/217x100.png/ff4444/ffffff, Double
98, 813, Deluxe D, Bathup|Double Bed|AC|Shower|Towel, 52.67, Booked, http://dummyimage.com/125x100.png/dddddd/000000, Double
935, 448, Deluxe D, Bathup|LED TV|Coffee Set|Double Bed|Shower|Wifi, 53.14, Available, http://dummyimage.com/144x100.png/5fa2dd/ffffff, Double
670, 651, Deluxe B, LED TV|Towel|Bathup|Wifi|Coffee Set, 53.35, Booked, http://dummyimage.com/119x100.png/ff4444/ffffff, Single
448, 609, Deluxe D, Double Bed|Shower|Coffee Set, 53.36, Available, http://dummyimage.com/177x100.png/cc0000/ffffff, Single
121, 548, Deluxe A, Wifi|Double Bed|Towel|Shower, 53.43, Available, http://dummyimage.com/122x100.png/5fa2dd/ffffff, Single
213, 57, Deluxe D, Towel|AC|Shower, 53.44, Available, http://dummyimage.com/194x100.png/5fa2dd/ffffff, Double
590, 684, Deluxe C, Coffee Set|Bathup|Wifi|Shower|Double Bed|Towel|LED TV|AC|Wifi, 54.17, Available, http://dummyimage.com/220x100.png/cc0000/ffffff, Single
288, 928, Deluxe A, Coffee Set|Shower|LED TV|AC|Double Bed|Bathup|Wifi, 54.36, Booked, http://dummyimage.com/192x100.png/ff4444/ffffff, Single
44, 844, Deluxe A, Double Bed, 54.73, Booked, http://dummyimage.com/107x100.png/cc0000/ffffff, Double
17, 456, Deluxe B, Coffee Set|Wifi|Shower, 54.82, Booked, http://dummyimage.com/242x100.png/cc0000/ffffff, Double
519, 160, Deluxe D, Shower|AC, 54.88, Booked, http://dummyimage.com/248x100.png/cc0000/ffffff, Single
526, 138, Deluxe C, Double Bed|Towel|Coffee Set|LED TV|Bathup|AC|Shower, 55.38, Booked, http://dummyimage.com/128x100.png/5fa2dd/ffffff, Single
228, 189, Deluxe A, Wifi|LED TV|Shower, 55.63, Booked, http://dummyimage.com/161x100.png/dddddd/000000, Double
108, 565, Deluxe C, Towel|Coffee Set|Shower|Double Bed, 55.65, Available, http://dummyimage.com/158x100.png/ff4444/ffffff, Single
995, 917, Deluxe B, Bathup|Towel|LED TV|Coffee Set|Double Bed|Shower|AC|Wifi|Double Bed, 55.76, Booked, http://dummyimage.com/143x100.png/5fa2dd/ffffff, Double
33, 6, Deluxe D, Coffee Set|Bathup, 55.84, Available, http://dummyimage.com/239x100.png/cc0000/ffffff, Double
595, 596, Deluxe B, Shower|LED TV|Coffee Set, 56.01, Booked, http://dummyimage.com/108x100.png/dddddd/000000, Double
591, 111, Deluxe C, Shower|AC|LED TV|Towel|Coffee Set|Wifi|Double Bed, 56.24, Available, http://dummyimage.com/142x100.png/ff4444/ffffff, Single
327, 759, Deluxe A, Wifi|Shower|LED TV, 56.44, Booked, http://dummyimage.com/233x100.png/5fa2dd/ffffff, Single
599, 278, Deluxe B, Coffee Set|AC|LED TV|Towel|Bathup, 56.57, Booked, http://dummyimage.com/198x100.png/cc0000/ffffff, Single
883, 734, Deluxe A, Towel|Wifi|Bathup|LED TV|Double Bed|AC|Shower|Coffee Set, 56.72, Available, http://dummyimage.com/165x100.png/5fa2dd/ffffff, Double
182, 167, Deluxe D, Bathup|Double Bed|Wifi|Towel|LED TV, 56.82, Booked, http://dummyimage.com/186x100.png/cc0000/ffffff, Single
753, 755, Deluxe B, Towel|LED TV|Double Bed|Bathup|Shower|Coffee Set|Wifi|AC|Shower|Double Bed, 57.36, Available, http://dummyimage.com/222x100.png/5fa2dd/ffffff, Single
101, 710, Deluxe B, Bathup|AC|Wifi|Coffee Set|Double Bed|Shower|Towel|LED TV, 57.7, Available, http://dummyimage.com/189x100.png/ff4444/ffffff, Double
478, 350, Deluxe D, Coffee Set|Shower|AC|Wifi|Towel|LED TV|Bathup, 57.77, Available, http://dummyimage.com/162x100.png/ff4444/ffffff, Single
894, 916, Deluxe A, Double Bed|Wifi|Bathup|AC|Shower|LED TV|Towel|Coffee Set, 57.8, Available, http://dummyimage.com/183x100.png/5fa2dd/ffffff, Single
100, 832, Deluxe A, Double Bed|Towel, 58.09, Available, http://dummyimage.com/215x100.png/5fa2dd/ffffff, Single
752, 262, Deluxe D, Coffee Set, 58.12, Booked, http://dummyimage.com/144x100.png/ff4444/ffffff, Double
745, 595, Deluxe C, Shower|AC, 58.16, Available, http://dummyimage.com/197x100.png/5fa2dd/ffffff, Double
767, 499, Deluxe B, Bathup|Coffee Set, 58.21, Available, http://dummyimage.com/246x100.png/cc0000/ffffff, Single
979, 57, Deluxe A, Shower|AC|Towel|Bathup|Double Bed, 58.41, Booked, http://dummyimage.com/154x100.png/ff4444/ffffff, Double
511, 31, Deluxe C, LED TV|Wifi|Double Bed, 58.55, Available, http://dummyimage.com/177x100.png/cc0000/ffffff, Double
450, 188, Deluxe B, Towel|Coffee Set|Double Bed|LED TV|Bathup|AC|Wifi, 58.84, Available, http://dummyimage.com/119x100.png/dddddd/000000, Single
11, 582, Deluxe B, Coffee Set|Wifi|Shower, 59.34, Available, http://dummyimage.com/168x100.png/dddddd/000000, Single
840, 228, Deluxe C, LED TV|AC|Towel|Coffee Set|Bathup|Wifi|Shower|Double Bed|Towel|Wifi, 59.37, Available, http://dummyimage.com/114x100.png/cc0000/ffffff, Double
344, 911, Deluxe A, Coffee Set|Bathup, 59.46, Booked, http://dummyimage.com/171x100.png/cc0000/ffffff, Single
565, 21, Deluxe B, Bathup|Wifi|Towel, 59.65, Booked, http://dummyimage.com/229x100.png/ff4444/ffffff, Single
744, 292, Deluxe A, Shower|AC|Coffee Set|Double Bed|Bathup|LED TV|Wifi|Towel, 59.71, Available, http://dummyimage.com/120x100.png/dddddd/000000, Single
456, 69, Deluxe B, Shower|LED TV|AC|Towel|Wifi|Bathup|Double Bed|Coffee Set|Shower|LED TV, 59.97, Booked, http://dummyimage.com/169x100.png/dddddd/000000, Double
690, 916, Deluxe D, Shower|AC|Coffee Set|LED TV|Bathup|Towel|Double Bed|Wifi, 59.98, Booked, http://dummyimage.com/233x100.png/dddddd/000000, Single
795, 550, Deluxe D, Towel|Coffee Set|Double Bed|Bathup|Wifi|AC|LED TV, 60.11, Available, http://dummyimage.com/207x100.png/ff4444/ffffff, Single
685, 643, Deluxe B, Shower|Towel|Double Bed|LED TV|AC, 60.15, Available, http://dummyimage.com/242x100.png/5fa2dd/ffffff, Single
572, 200, Deluxe C, Shower|Bathup, 60.2, Booked, http://dummyimage.com/147x100.png/5fa2dd/ffffff, Single
871, 938, Deluxe D, Wifi|Towel|Coffee Set|Shower|Double Bed|Bathup|LED TV|AC, 60.39, Available, http://dummyimage.com/121x100.png/dddddd/000000, Double
827, 224, Deluxe B, Shower|Bathup|LED TV|Towel|Coffee Set|Double Bed|Wifi|AC|LED TV|AC, 60.45, Booked, http://dummyimage.com/147x100.png/cc0000/ffffff, Double
380, 909, Deluxe C, Coffee Set|Bathup|Wifi|AC|Shower|LED TV|Towel, 60.7, Available, http://dummyimage.com/247x100.png/ff4444/ffffff, Single
867, 661, Deluxe C, Shower|Bathup|Double Bed|Coffee Set|Towel|LED TV|Wifi|AC, 60.7, Available, http://dummyimage.com/132x100.png/5fa2dd/ffffff, Double
567, 558, Deluxe C, Bathup|LED TV|Double Bed|AC|Towel|Wifi|Shower|Coffee Set|Shower|Towel, 61, Available, http://dummyimage.com/162x100.png/5fa2dd/ffffff, Double
27, 743, Deluxe B, AC|Coffee Set|Double Bed|Shower|LED TV|Bathup|Wifi|Towel|Double Bed, 61.08, Available, http://dummyimage.com/170x100.png/dddddd/000000, Double
392, 14, Deluxe D, LED TV|Towel, 61.24, Available, http://dummyimage.com/118x100.png/dddddd/000000, Double
703, 162, Deluxe B, AC|Wifi|Double Bed|Bathup|Shower|Coffee Set|Towel, 61.28, Booked, http://dummyimage.com/162x100.png/ff4444/ffffff, Double
175, 961, Deluxe B, Wifi, 61.37, Booked, http://dummyimage.com/152x100.png/cc0000/ffffff, Double
97, 678, Deluxe C, Bathup|Wifi|AC|Towel|Coffee Set|LED TV|Shower|Double Bed, 61.4, Booked, http://dummyimage.com/193x100.png/cc0000/ffffff, Single
375, 587, Deluxe C, Coffee Set|Shower|Wifi|AC|Towel|LED TV|Bathup|Double Bed|Double Bed|Bathup, 61.49, Booked, http://dummyimage.com/129x100.png/5fa2dd/ffffff, Single
216, 727, Deluxe B, Wifi|Towel|Double Bed|Shower|Coffee Set|LED TV|Bathup|AC, 61.53, Booked, http://dummyimage.com/122x100.png/5fa2dd/ffffff, Double
633, 726, Deluxe D, Shower|Wifi|AC|Double Bed|Bathup|Coffee Set|LED TV|Towel|Wifi, 61.87, Available, http://dummyimage.com/143x100.png/5fa2dd/ffffff, Single
435, 84, Deluxe D, Double Bed|Coffee Set|Shower|Wifi|AC|Towel|Bathup|LED TV|Double Bed|Towel, 62.37, Booked, http://dummyimage.com/193x100.png/cc0000/ffffff, Single
404, 844, Deluxe A, Shower|Towel, 62.4, Available, http://dummyimage.com/160x100.png/dddddd/000000, Single
152, 413, Deluxe C, Double Bed|LED TV|AC|Wifi|Shower|Towel|Bathup|Coffee Set|Bathup|AC, 62.47, Booked, http://dummyimage.com/184x100.png/ff4444/ffffff, Single
994, 944, Deluxe A, AC|Wifi|Coffee Set, 62.64, Booked, http://dummyimage.com/230x100.png/cc0000/ffffff, Single
790, 614, Deluxe C, Shower|Towel|AC|LED TV|Coffee Set|Wifi|Double Bed, 62.76, Available, http://dummyimage.com/159x100.png/ff4444/ffffff, Double
653, 445, Deluxe D, AC|Coffee Set|Bathup|Shower|Double Bed|Wifi|Towel, 62.94, Available, http://dummyimage.com/112x100.png/ff4444/ffffff, Double
49, 286, Deluxe A, Wifi|AC|Coffee Set|Shower|LED TV|Towel|Double Bed|Bathup|AC, 63.05, Booked, http://dummyimage.com/204x100.png/5fa2dd/ffffff, Single
505, 721, Deluxe D, Coffee Set|AC|Shower|Wifi, 63.11, Available, http://dummyimage.com/149x100.png/dddddd/000000, Single
815, 50, Deluxe D, Coffee Set|LED TV|Wifi|Towel, 63.15, Booked, http://dummyimage.com/246x100.png/cc0000/ffffff, Single
508, 15, Deluxe D, Bathup|Coffee Set|Wifi|Double Bed, 63.4, Available, http://dummyimage.com/221x100.png/dddddd/000000, Single
943, 876, Deluxe B, Double Bed, 63.68, Available, http://dummyimage.com/171x100.png/dddddd/000000, Single
395, 604, Deluxe A, Double Bed|LED TV|Wifi|Coffee Set|Towel|Bathup|AC|Shower|Towel|Wifi, 64.04, Available, http://dummyimage.com/246x100.png/dddddd/000000, Single
556, 98, Deluxe D, LED TV|AC|Wifi|Towel|Double Bed|Coffee Set|Shower|Bathup, 64.28, Available, http://dummyimage.com/230x100.png/5fa2dd/ffffff, Double
317, 117, Deluxe A, Coffee Set|LED TV|AC|Wifi|Shower|Double Bed|Bathup|Towel, 64.35, Available, http://dummyimage.com/233x100.png/cc0000/ffffff, Single
494, 29, Deluxe C, Double Bed|Shower|AC|Bathup|Coffee Set|Towel|LED TV|Wifi|AC|LED TV, 64.46, Booked, http://dummyimage.com/119x100.png/ff4444/ffffff, Double
627, 896, Deluxe A, Wifi|Double Bed|Coffee Set, 64.7, Available, http://dummyimage.com/139x100.png/5fa2dd/ffffff, Single
878, 94, Deluxe B, Double Bed|Wifi|AC|Coffee Set|Shower|Bathup|Towel|LED TV, 64.74, Booked, http://dummyimage.com/241x100.png/ff4444/ffffff, Double
915, 164, Deluxe C, LED TV|Shower|Coffee Set|Wifi|Towel|Bathup|Double Bed|AC|Bathup|Shower, 65.16, Booked, http://dummyimage.com/220x100.png/5fa2dd/ffffff, Double
831, 713, Deluxe B, LED TV|Wifi|Towel|Double Bed|Bathup|AC, 65.36, Booked, http://dummyimage.com/178x100.png/5fa2dd/ffffff, Double
373, 544, Deluxe C, Coffee Set, 65.65, Available, http://dummyimage.com/147x100.png/5fa2dd/ffffff, Single
999, 938, Deluxe D, Wifi|Coffee Set|Double Bed|Towel|LED TV|Bathup|AC|Shower, 65.7, Booked, http://dummyimage.com/146x100.png/cc0000/ffffff, Double
414, 226, Deluxe D, Bathup|Wifi|AC|Coffee Set|LED TV|Double Bed, 65.9, Available, http://dummyimage.com/232x100.png/ff4444/ffffff, Single
530, 22, Deluxe C, Wifi, 66.09, Booked, http://dummyimage.com/123x100.png/cc0000/ffffff, Single
193, 48, Deluxe B, Shower|Towel|Wifi|Double Bed, 66.37, Available, http://dummyimage.com/166x100.png/5fa2dd/ffffff, Double
387, 916, Deluxe A, LED TV|Bathup|Shower|Wifi|AC|Towel|Double Bed|Coffee Set|AC|Shower, 66.56, Available, http://dummyimage.com/220x100.png/dddddd/000000, Double
308, 308, Deluxe B, Coffee Set|Towel|Shower|LED TV|AC|Wifi|Double Bed|Bathup|Shower|AC, 66.62, Booked, http://dummyimage.com/218x100.png/5fa2dd/ffffff, Single
287, 21, Deluxe A, LED TV|Bathup|Coffee Set, 67.05, Available, http://dummyimage.com/161x100.png/ff4444/ffffff, Double
360, 199, Deluxe A, Shower|Bathup|Coffee Set, 67.34, Available, http://dummyimage.com/220x100.png/cc0000/ffffff, Double
240, 34, Deluxe B, Double Bed|Bathup|LED TV|AC|Towel|Coffee Set|Wifi|Shower, 67.67, Booked, http://dummyimage.com/229x100.png/cc0000/ffffff, Single
330, 402, Deluxe C, Wifi, 67.68, Booked, http://dummyimage.com/123x100.png/cc0000/ffffff, Single
234, 65, Deluxe B, LED TV|Towel, 67.75, Available, http://dummyimage.com/158x100.png/dddddd/000000, Double
682, 499, Deluxe C, AC|LED TV|Double Bed|Shower|Bathup|Coffee Set|Wifi|Towel, 67.8, Available, http://dummyimage.com/111x100.png/dddddd/000000, Double
487, 869, Deluxe D, Double Bed|Towel|Wifi|Coffee Set|Shower|LED TV, 67.86, Booked, http://dummyimage.com/203x100.png/5fa2dd/ffffff, Double
52, 81, Deluxe C, LED TV|Wifi|Towel|AC|Bathup, 68.04, Available, http://dummyimage.com/210x100.png/dddddd/000000, Single
586, 504, Deluxe A, Bathup|Towel|Shower|AC|Double Bed|Coffee Set|Wifi|LED TV, 68.19, Available, http://dummyimage.com/180x100.png/dddddd/000000, Double
278, 26, Deluxe C, Wifi|Shower, 68.23, Booked, http://dummyimage.com/114x100.png/5fa2dd/ffffff, Double
409, 131, Deluxe B, AC|Bathup|LED TV|Wifi|Shower, 68.23, Available, http://dummyimage.com/128x100.png/dddddd/000000, Double
186, 948, Deluxe D, Shower|LED TV|Wifi|Double Bed|Coffee Set|AC|Towel|Bathup|Shower, 68.28, Booked, http://dummyimage.com/121x100.png/dddddd/000000, Double
695, 122, Deluxe D, Towel|Shower|Double Bed, 68.43, Booked, http://dummyimage.com/197x100.png/ff4444/ffffff, Double
707, 165, Deluxe B, LED TV|Wifi|Double Bed|Towel|Shower|Coffee Set, 68.47, Booked, http://dummyimage.com/229x100.png/ff4444/ffffff, Double
581, 659, Deluxe A, LED TV|Double Bed|Bathup|Shower|Wifi|AC|Towel|Coffee Set|Shower, 68.54, Available, http://dummyimage.com/104x100.png/ff4444/ffffff, Single
635, 305, Deluxe C, Wifi|Shower|AC|Towel|LED TV|Coffee Set|Double Bed|Bathup|AC|Bathup, 68.6, Available, http://dummyimage.com/120x100.png/dddddd/000000, Double
705, 582, Deluxe A, Double Bed|Bathup|LED TV|Shower|Wifi|Coffee Set|AC|Towel|Bathup|Coffee Set, 68.84, Booked, http://dummyimage.com/191x100.png/cc0000/ffffff, Double
438, 911, Deluxe B, Double Bed|AC|Bathup|LED TV|Shower|Wifi|Towel|Coffee Set, 68.86, Available, http://dummyimage.com/186x100.png/dddddd/000000, Double
410, 103, Deluxe B, Double Bed|Towel|Bathup|Shower|Coffee Set|Wifi|AC|LED TV, 68.97, Booked, http://dummyimage.com/119x100.png/dddddd/000000, Single
844, 196, Deluxe A, Double Bed|LED TV|Coffee Set|Shower|Wifi, 69.23, Available, http://dummyimage.com/172x100.png/ff4444/ffffff, Double
129, 70, Deluxe C, Towel|Double Bed|Bathup, 69.3, Available, http://dummyimage.com/154x100.png/ff4444/ffffff, Single
946, 634, Deluxe D, Coffee Set|Bathup|Double Bed|LED TV|Wifi|Shower|AC|Towel|Wifi|Towel, 69.3, Available, http://dummyimage.com/104x100.png/dddddd/000000, Double
537, 114, Deluxe A, AC, 69.34, Booked, http://dummyimage.com/215x100.png/ff4444/ffffff, Single
835, 883, Deluxe A, Coffee Set, 69.34, Booked, http://dummyimage.com/236x100.png/ff4444/ffffff, Single
680, 840, Deluxe B, Wifi|Coffee Set|Towel|AC|LED TV|Shower, 69.57, Booked, http://dummyimage.com/213x100.png/5fa2dd/ffffff, Single
201, 426, Deluxe C, LED TV|Bathup, 69.8, Booked, http://dummyimage.com/140x100.png/ff4444/ffffff, Double
870, 570, Deluxe B, Wifi|Coffee Set|Double Bed|Bathup|Shower|Towel|AC|LED TV, 70.08, Booked, http://dummyimage.com/117x100.png/cc0000/ffffff, Double
222, 952, Deluxe A, Double Bed|AC|LED TV, 70.45, Available, http://dummyimage.com/225x100.png/5fa2dd/ffffff, Double
978, 58, Deluxe B, AC|Wifi|Towel, 70.47, Booked, http://dummyimage.com/133x100.png/ff4444/ffffff, Single
304, 665, Deluxe C, AC, 70.48, Available, http://dummyimage.com/242x100.png/5fa2dd/ffffff, Double
810, 52, Deluxe A, Wifi|LED TV|Coffee Set|Towel|Bathup|Double Bed, 70.51, Available, http://dummyimage.com/169x100.png/cc0000/ffffff, Double
171, 22, Deluxe A, Bathup|LED TV|Coffee Set|Towel|Wifi|AC|Shower|Double Bed|Shower|LED TV, 70.58, Available, http://dummyimage.com/230x100.png/dddddd/000000, Double
502, 755, Deluxe D, LED TV|Bathup|Double Bed|Coffee Set|AC|Shower, 70.59, Available, http://dummyimage.com/138x100.png/ff4444/ffffff, Double
549, 104, Deluxe D, LED TV|AC|Double Bed|Wifi|Coffee Set|Bathup, 70.94, Booked, http://dummyimage.com/183x100.png/dddddd/000000, Double
896, 935, Deluxe C, LED TV, 71.02, Available, http://dummyimage.com/128x100.png/cc0000/ffffff, Double
165, 885, Deluxe C, Coffee Set|Shower|Wifi|Towel|LED TV|Bathup|AC|Double Bed, 71.04, Booked, http://dummyimage.com/114x100.png/cc0000/ffffff, Single
571, 895, Deluxe B, Coffee Set|Shower|LED TV, 71.2, Booked, http://dummyimage.com/176x100.png/ff4444/ffffff, Single
174, 104, Deluxe C, Bathup|Coffee Set|Wifi|Shower, 71.43, Booked, http://dummyimage.com/188x100.png/5fa2dd/ffffff, Double
467, 497, Deluxe A, Coffee Set|AC|Wifi|Shower|Double Bed|Bathup|LED TV|Towel, 71.57, Available, http://dummyimage.com/153x100.png/5fa2dd/ffffff, Single
176, 108, Deluxe D, LED TV|AC, 72.13, Available, http://dummyimage.com/234x100.png/5fa2dd/ffffff, Double
626, 745, Deluxe A, Wifi|AC|Shower|Towel|LED TV|Bathup|Double Bed|Coffee Set|LED TV|Towel, 72.18, Available, http://dummyimage.com/117x100.png/dddddd/000000, Double
528, 70, Deluxe A, Wifi|Shower|LED TV|Coffee Set|Bathup|AC|Double Bed|Towel|LED TV, 72.21, Booked, http://dummyimage.com/110x100.png/dddddd/000000, Single
422, 786, Deluxe D, Bathup|LED TV|Towel|Shower|Coffee Set|AC|Double Bed|Wifi|LED TV, 72.42, Available, http://dummyimage.com/250x100.png/cc0000/ffffff, Single
453, 704, Deluxe B, Bathup|Double Bed|Towel|Coffee Set, 72.44, Available, http://dummyimage.com/193x100.png/ff4444/ffffff, Double
659, 944, Deluxe D, Towel|Shower|AC, 72.52, Booked, http://dummyimage.com/150x100.png/ff4444/ffffff, Double
689, 599, Deluxe D, Coffee Set|Double Bed|Shower|Bathup|LED TV|Towel|Wifi, 72.6, Booked, http://dummyimage.com/229x100.png/dddddd/000000, Double
668, 668, Deluxe A, Wifi, 72.78, Available, http://dummyimage.com/102x100.png/dddddd/000000, Single
858, 22, Deluxe C, LED TV|Double Bed|Coffee Set|Towel|AC, 72.79, Available, http://dummyimage.com/188x100.png/ff4444/ffffff, Double
557, 972, Deluxe C, Double Bed|LED TV|Wifi|Shower|AC|Coffee Set|Bathup|Towel|LED TV, 72.95, Available, http://dummyimage.com/167x100.png/cc0000/ffffff, Double
900, 689, Deluxe A, Towel|LED TV|Shower|Wifi|AC|Double Bed, 72.98, Booked, http://dummyimage.com/156x100.png/ff4444/ffffff, Single
944, 187, Deluxe A, Coffee Set|Towel|Bathup|Double Bed|Wifi, 73.03, Booked, http://dummyimage.com/181x100.png/ff4444/ffffff, Single
26, 406, Deluxe B, Double Bed|Towel|AC|Shower|Coffee Set, 73.06, Booked, http://dummyimage.com/109x100.png/cc0000/ffffff, Double
672, 763, Deluxe D, Double Bed|Bathup|Shower|Wifi|Towel|LED TV|Coffee Set|AC, 73.08, Available, http://dummyimage.com/180x100.png/cc0000/ffffff, Single
84, 825, Deluxe B, LED TV|AC, 73.16, Booked, http://dummyimage.com/130x100.png/5fa2dd/ffffff, Double
940, 651, Deluxe C, Shower|Wifi|Towel, 73.33, Available, http://dummyimage.com/176x100.png/5fa2dd/ffffff, Double
578, 279, Deluxe A, Wifi|Coffee Set|Bathup|Shower|LED TV|Double Bed|AC|Towel|Wifi, 73.4, Available, http://dummyimage.com/140x100.png/cc0000/ffffff, Single
124, 97, Deluxe B, Towel|Double Bed|Shower|AC|Wifi|Coffee Set|Bathup|LED TV|Towel|Shower, 73.89, Booked, http://dummyimage.com/133x100.png/5fa2dd/ffffff, Double
693, 792, Deluxe C, AC|Shower|LED TV|Wifi|Bathup, 73.91, Available, http://dummyimage.com/213x100.png/cc0000/ffffff, Single
21, 471, Deluxe C, Towel|LED TV|Wifi|AC|Bathup, 73.93, Booked, http://dummyimage.com/164x100.png/dddddd/000000, Single
30, 238, Deluxe A, LED TV|Bathup, 74.33, Booked, http://dummyimage.com/206x100.png/5fa2dd/ffffff, Double
14, 569, Deluxe B, Double Bed|Towel|LED TV|AC|Bathup|Coffee Set|Shower|Wifi, 74.34, Available, http://dummyimage.com/158x100.png/dddddd/000000, Double
51, 871, Deluxe D, AC|Shower|Towel|Double Bed|LED TV|Wifi|Coffee Set|Bathup, 74.79, Available, http://dummyimage.com/176x100.png/cc0000/ffffff, Single
641, 526, Deluxe C, AC|Shower|Coffee Set|Bathup|Wifi|Double Bed|Towel|LED TV, 74.82, Available, http://dummyimage.com/114x100.png/ff4444/ffffff, Double
503, 324, Deluxe D, Bathup|Towel|Shower, 75.12, Available, http://dummyimage.com/219x100.png/ff4444/ffffff, Double
292, 57, Deluxe D, Coffee Set|LED TV|Double Bed|Bathup|AC|Towel|Shower|Wifi|Towel, 75.17, Booked, http://dummyimage.com/134x100.png/dddddd/000000, Double
954, 275, Deluxe C, Shower|Double Bed|AC|Towel|Wifi|Coffee Set|LED TV, 75.17, Booked, http://dummyimage.com/192x100.png/dddddd/000000, Single
660, 580, Deluxe C, Bathup|Wifi, 75.43, Booked, http://dummyimage.com/201x100.png/ff4444/ffffff, Single
667, 643, Deluxe C, Towel|Bathup|Double Bed|LED TV|Wifi|AC, 75.52, Booked, http://dummyimage.com/215x100.png/ff4444/ffffff, Double
202, 99, Deluxe B, Wifi|Coffee Set|Towel|Bathup|LED TV|Double Bed|AC|Shower|LED TV, 75.59, Booked, http://dummyimage.com/117x100.png/dddddd/000000, Single
441, 139, Deluxe C, Double Bed|LED TV|Wifi|Shower|AC|Towel, 75.76, Booked, http://dummyimage.com/135x100.png/dddddd/000000, Single
244, 823, Deluxe D, Double Bed|Wifi|Coffee Set|AC|Bathup|Shower|Towel, 76, Available, http://dummyimage.com/152x100.png/5fa2dd/ffffff, Double
